Year,Period,Area,Income Source,Income Type,Income
2020,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,292,586"
2019,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,350"
2019,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,548,160"
2018,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,042"
2018,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,296,250"
2017,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,395"
2017,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,290,349"
2016,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,161"
2016,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,097,044"
2015,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,733"
2015,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,906,911"
2014,Annual,Kings County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$18,707"
2014,Annual,Kings County,U.S. BEA - Local Data,Total Personal Income - BEA,"$63,232"
2022,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,623"
2022,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,111,067"
2021,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,852"
2021,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,213,324"
2020,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,016"
2020,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,001,704"
2019,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,226"
2019,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,726,156"
2018,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,998"
2018,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,625,869"
2017,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,201"
2017,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,547,917"
2016,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,651"
2016,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,422,965"
2015,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,796"
2015,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,366,677"
2014,Annual,Lake County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,407"
2014,Annual,Lake County,U.S. BEA - Local Data,Total Personal Income - BEA,"$50,453"
2022,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,700"
2022,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,217,102"
2021,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,151"
2021,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,309,137"
2020,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,061"
2020,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,230,010"
2019,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,755"
2019,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,086,453"
2018,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,629"
2018,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,072,008"
2017,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,154"
2017,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,056,481"
2016,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,336"
2016,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,046,637"
2015,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$31,092"
2015,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,015,521"
2014,Annual,Lassen County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$19,274"
2014,Annual,Lassen County,U.S. BEA - Local Data,Total Personal Income - BEA,"$63,361"
2022,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,142"
2022,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$720,740,528"
2021,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$73,385"
2021,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$720,046,822"
2020,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,383"
2020,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$673,306,158"
2019,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,573"
2019,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$628,932,215"
2018,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,004"
2018,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$595,765,931"
2017,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,635"
2017,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$573,348,398"
2016,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,750"
2016,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$554,158,129"
2015,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,067"
2015,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$535,960,148"
2014,Annual,Los Angeles County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$28,337"
2014,Annual,Los Angeles County,U.S. BEA - Local Data,Total Personal Income - BEA,"$82,941"
2022,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,406"
2022,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,436,909"
2021,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,533"
2021,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,553,475"
2020,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,394"
2020,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,940,713"
2019,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,040"
2019,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,076,859"
2018,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,414"
2018,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,815,299"
2017,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,871"
2017,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,687,523"
2016,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,931"
2016,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,497,117"
2015,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,323"
2015,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,246,433"
2014,Annual,Madera County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$17,970"
2014,Annual,Madera County,U.S. BEA - Local Data,Total Personal Income - BEA,"$59,598"
2022,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$171,177"
2022,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$43,824,350"
2021,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$165,673"
2021,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$42,936,183"
2020,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$144,658"
2020,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$37,796,487"
2019,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$136,460"
2019,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$35,896,884"
2018,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$128,091"
2018,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$33,770,671"
2017,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$119,063"
2017,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$31,324,429"
2016,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$113,226"
2016,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$29,825,203"
2015,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$109,274"
2015,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,764,641"
2014,Annual,Marin County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,236"
2014,Annual,Marin County,U.S. BEA - Local Data,Total Personal Income - BEA,"$146,444"
2022,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,230"
2022,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,042,143"
2021,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,584"
2021,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,036,419"
2020,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,215"
2020,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$979,407"
2019,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,859"
2019,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$919,965"
2018,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$884,466"
2018,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,043"
2017,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,097"
2017,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$855,857"
2016,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,915"
2016,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$819,746"
2015,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$770,497"
2015,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,701"
2014,Annual,Mariposa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$28,316"
2014,Annual,Mariposa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$65,619"
2022,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,310"
2022,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,145,470"
2021,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,701"
2021,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,159,935"
2020,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,477"
2020,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,794,385"
2019,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,131"
2019,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,322,898"
2018,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,250"
2018,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,155,689"
2017,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,743"
2017,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$4,000,436"
2016,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,497"
2016,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,847,743"
2015,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,701"
2015,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$3,745,679"
2014,Annual,Mendocino County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$24,059"
2014,Annual,Mendocino County,U.S. BEA - Local Data,Total Personal Income - BEA,"$59,563"
2022,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,188"
2022,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$13,395,227"
2021,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,574"
2021,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$13,532,782"
2020,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,163"
2020,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$12,445,651"
2019,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$38,355"
2019,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,711,229"
2018,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,820"
2018,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,148,451"
2017,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,405"
2017,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,919,653"
2016,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,626"
2016,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,575,058"
2015,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,167"
2015,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,400,054"
2014,Annual,Merced County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$18,204"
2014,Annual,Merced County,U.S. BEA - Local Data,Total Personal Income - BEA,"$58,398"
2022,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,559"
2022,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$481,376"
2021,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,646"
2021,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$476,942"
2020,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,072"
2020,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$459,764"
2019,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,410"
2019,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$406,924"
2018,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,751"
2018,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$381,904"
2017,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,305"
2017,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$380,517"
2016,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,145"
2016,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$383,518"
2015,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,461"
2015,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$382,445"
2014,Annual,Modoc County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$21,001"
2014,Annual,Modoc County,U.S. BEA - Local Data,Total Personal Income - BEA,"$48,845"
2022,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$65,296"
2022,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$847,409"
2021,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,909"
2021,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$834,235"
2020,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,401"
2020,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$798,867"
2019,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,863"
2019,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$726,930"
2018,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,783"
2018,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$663,504"
2017,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,037"
2017,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$683,435"
2016,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,291"
2016,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$608,931"
2015,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,056"
2015,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$590,257"
2014,Annual,Mono County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$29,437"
2014,Annual,Mono County,U.S. BEA - Local Data,Total Personal Income - BEA,"$70,947"
2022,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$65,123"
2022,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,189,179"
2021,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$64,799"
2021,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$28,333,347"
2020,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,216"
2020,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$26,398,134"
2019,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,483"
2019,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$24,421,471"
2018,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$52,346"
2018,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,001,148"
2017,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,861"
2017,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,772,964"
2016,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,839"
2016,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$22,267,892"
2015,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,757"
2015,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,593,394"
2014,Annual,Monterey County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$24,994"
2014,Annual,Monterey County,U.S. BEA - Local Data,Total Personal Income - BEA,"$86,603"
2022,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$86,863"
2022,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,665,710"
2021,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,907,435"
2021,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$87,422"
2020,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$81,905"
2020,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,260,752"
2019,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$73,195"
2019,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,184,848"
2018,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,657,020"
2018,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$69,010"
2017,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$68,063"
2017,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,595,776"
2016,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$66,405"
2016,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,415,486"
2015,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,890,655"
2015,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,781"
2014,Annual,Napa County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,975"
2014,Annual,Napa County,U.S. BEA - Local Data,Total Personal Income - BEA,"$99,859"
2022,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$72,759"
2022,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,442,705"
2021,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$7,333,293"
2021,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$70,883"
2020,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$66,471"
2020,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,796,594"
2019,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,451"
2019,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,163,728"
2018,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,821,249"
2018,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,335"
2017,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,004"
2017,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,669,101"
2016,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$55,382"
2016,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,565,078"
2015,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,313,879"
2015,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$53,134"
2014,Annual,Nevada County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$32,442"
2014,Annual,Nevada County,U.S. BEA - Local Data,Total Personal Income - BEA,"$76,041"
2022,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$83,553"
2022,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$263,290,135"
2021,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$81,567"
2021,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$257,834,298"
2020,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$75,572"
2020,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$240,734,263"
2019,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$69,590"
2019,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$221,692,307"
2018,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$66,058"
2018,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$210,648,610"
2017,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$63,513"
2017,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$202,337,241"
2016,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,188"
2016,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$194,223,700"
2015,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,242"
2015,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$187,042,532"
2014,Annual,Orange County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$34,817"
2014,Annual,Orange County,U.S. BEA - Local Data,Total Personal Income - BEA,"$103,752"
2022,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$81,791"
2022,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$34,170,169"
2021,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$79,711"
2021,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$32,903,884"
2020,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$74,046"
2020,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$30,054,657"
2019,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$67,647"
2019,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$27,147,695"
2018,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$64,803"
2018,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$25,586,686"
2017,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$62,803"
2017,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$24,314,724"
2016,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,591"
2016,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$23,059,644"
2015,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,519"
2015,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$21,893,973"
2014,Annual,Placer County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,022"
2014,Annual,Placer County,U.S. BEA - Local Data,Total Personal Income - BEA,"$66,613"
2022,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,387"
2022,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,149,201"
2021,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$58,692"
2021,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,170,312"
2020,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,643"
2020,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,079,139"
2019,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$49,448"
2019,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$977,680"
2018,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$47,601"
2018,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$926,506"
2017,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,975"
2017,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$884,140"
2016,Annual,Plumas County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,612"
2016,Annual,Plumas County,U.S. BEA - Local Data,Total Personal Income - BEA,"$855,026"
