Year,Period,Area,Income Source,Income Type,Income
2019,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$43,913"
2019,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,760,594"
2018,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,827"
2018,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,660,611"
2017,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,237"
2017,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,602,167"
2016,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,310"
2016,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,519,574"
2015,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,764"
2015,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,481,210"
2014,Annual,Amador County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$27,473"
2014,Annual,Amador County,U.S. BEA - Local Data,Total Personal Income - BEA,"$70,997"
2022,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,974"
2022,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,396,345"
2021,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,011"
2021,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$11,548,920"
2020,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$51,308"
2020,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$10,781,637"
2019,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,917"
2019,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,927,494"
2018,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$42,630"
2018,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,718,118"
2017,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$41,581"
2017,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,423,550"
2016,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,662"
2016,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$9,126,674"
2015,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$39,352"
2015,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,782,120"
2014,Annual,Butte County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$24,259"
2014,Annual,Butte County,U.S. BEA - Local Data,Total Personal Income - BEA,"$60,800"
2022,Annual,Calaveras County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,001"
2022,Annual,Calaveras County,U.S. BEA - Local Data,Total Personal Income - BEA,"$2,607,568"
