Year,Period,Area,Population Source,Population
2015,Annual,Trinity County,California Dept of Finance,"14,228"
2014,Annual,Trinity County,California Dept of Finance,"13,399"
2022,Annual,Tulare County,California Dept of Finance,"474,861"
2021,Annual,Tulare County,California Dept of Finance,"474,780"
2020,Annual,Tulare County,California Dept of Finance,"472,757"
2019,Annual,Tulare County,California Dept of Finance,"470,619"
2018,Annual,Tulare County,California Dept of Finance,"467,656"
2017,Annual,Tulare County,California Dept of Finance,"465,343"
2016,Annual,Tulare County,California Dept of Finance,"462,223"
2015,Annual,Tulare County,California Dept of Finance,"459,935"
2014,Annual,Tulare County,California Dept of Finance,"459,176"
2022,Annual,Tuolumne County,California Dept of Finance,"53,409"
2021,Annual,Tuolumne County,California Dept of Finance,"54,690"
2020,Annual,Tuolumne County,California Dept of Finance,"55,492"
2019,Annual,Tuolumne County,California Dept of Finance,"55,316"
2018,Annual,Tuolumne County,California Dept of Finance,"55,311"
2017,Annual,Tuolumne County,California Dept of Finance,"55,032"
2016,Annual,Tuolumne County,California Dept of Finance,"55,162"
2015,Annual,Tuolumne County,California Dept of Finance,"55,104"
2014,Annual,Tuolumne County,California Dept of Finance,"53,887"
2022,Annual,Ventura County,California Dept of Finance,"830,434"
2021,Annual,Ventura County,California Dept of Finance,"837,619"
2020,Annual,Ventura County,California Dept of Finance,"844,214"
2019,Annual,Ventura County,California Dept of Finance,"845,474"
2018,Annual,Ventura County,California Dept of Finance,"849,523"
2017,Annual,Ventura County,California Dept of Finance,"849,979"
2016,Annual,Ventura County,California Dept of Finance,"850,227"
2015,Annual,Ventura County,California Dept of Finance,"850,038"
2014,Annual,Ventura County,California Dept of Finance,"844,259"
2022,Annual,Yolo County,California Dept of Finance,"221,342"
2021,Annual,Yolo County,California Dept of Finance,"214,339"
2020,Annual,Yolo County,California Dept of Finance,"217,883"
2019,Annual,Yolo County,California Dept of Finance,"216,073"
2018,Annual,Yolo County,California Dept of Finance,"216,474"
2017,Annual,Yolo County,California Dept of Finance,"215,072"
2016,Annual,Yolo County,California Dept of Finance,"213,224"
2015,Annual,Yolo County,California Dept of Finance,"209,893"
2014,Annual,Yolo County,California Dept of Finance,"207,212"
2022,Annual,Yuba County,California Dept of Finance,"82,667"
2021,Annual,Yuba County,California Dept of Finance,"82,256"
2020,Annual,Yuba County,California Dept of Finance,"81,919"
2019,Annual,Yuba County,California Dept of Finance,"80,250"
2018,Annual,Yuba County,California Dept of Finance,"79,043"
2017,Annual,Yuba County,California Dept of Finance,"78,181"
2016,Annual,Yuba County,California Dept of Finance,"76,782"
2015,Annual,Yuba County,California Dept of Finance,"75,748"
2014,Annual,Yuba County,California Dept of Finance,"73,425"
