Year,Period,Area,Population Source,Population
2015,Annual,Fresno County,California Dept of Finance,"970,859"
2014,Annual,Fresno County,California Dept of Finance,"967,491"
2022,Annual,Glenn County,California Dept of Finance,"28,449"
2021,Annual,Glenn County,California Dept of Finance,"28,709"
2020,Annual,Glenn County,California Dept of Finance,"28,854"
2019,Annual,Glenn County,California Dept of Finance,"28,525"
2018,Annual,Glenn County,California Dept of Finance,"28,134"
2017,Annual,Glenn County,California Dept of Finance,"28,072"
2016,Annual,Glenn County,California Dept of Finance,"28,005"
2015,Annual,Glenn County,California Dept of Finance,"28,001"
2014,Annual,Glenn County,California Dept of Finance,"28,715"
2022,Annual,Humboldt County,California Dept of Finance,"134,657"
2021,Annual,Humboldt County,California Dept of Finance,"134,695"
2020,Annual,Humboldt County,California Dept of Finance,"136,406"
2019,Annual,Humboldt County,California Dept of Finance,"136,740"
2018,Annual,Humboldt County,California Dept of Finance,"137,493"
2017,Annual,Humboldt County,California Dept of Finance,"137,492"
2016,Annual,Humboldt County,California Dept of Finance,"137,346"
2015,Annual,Humboldt County,California Dept of Finance,"136,348"
2014,Annual,Humboldt County,California Dept of Finance,"134,609"
2022,Annual,Imperial County,California Dept of Finance,"179,914"
2021,Annual,Imperial County,California Dept of Finance,"179,807"
2020,Annual,Imperial County,California Dept of Finance,"180,376"
2019,Annual,Imperial County,California Dept of Finance,"180,809"
2018,Annual,Imperial County,California Dept of Finance,"180,627"
2017,Annual,Imperial County,California Dept of Finance,"180,627"
2016,Annual,Imperial County,California Dept of Finance,"180,280"
2015,Annual,Imperial County,California Dept of Finance,"179,952"
2014,Annual,Imperial County,California Dept of Finance,"181,103"
2022,Annual,Inyo County,California Dept of Finance,"18,847"
2021,Annual,Inyo County,California Dept of Finance,"18,874"
2020,Annual,Inyo County,California Dept of Finance,"18,954"
2019,Annual,Inyo County,California Dept of Finance,"18,947"
2018,Annual,Inyo County,California Dept of Finance,"18,953"
2017,Annual,Inyo County,California Dept of Finance,"18,945"
2016,Annual,Inyo County,California Dept of Finance,"18,956"
2015,Annual,Inyo County,California Dept of Finance,"18,911"
2014,Annual,Inyo County,California Dept of Finance,"18,612"
2022,Annual,Kern County,California Dept of Finance,"908,708"
2021,Annual,Kern County,California Dept of Finance,"908,418"
2020,Annual,Kern County,California Dept of Finance,"905,783"
2019,Annual,Kern County,California Dept of Finance,"903,150"
2018,Annual,Kern County,California Dept of Finance,"895,655"
2017,Annual,Kern County,California Dept of Finance,"888,203"
2016,Annual,Kern County,California Dept of Finance,"880,702"
2015,Annual,Kern County,California Dept of Finance,"878,081"
2014,Annual,Kern County,California Dept of Finance,"872,322"
2022,Annual,Kings County,California Dept of Finance,"151,954"
2021,Annual,Kings County,California Dept of Finance,"151,751"
2020,Annual,Kings County,California Dept of Finance,"152,531"
2019,Annual,Kings County,California Dept of Finance,"151,691"
2018,Annual,Kings County,California Dept of Finance,"151,040"
2017,Annual,Kings County,California Dept of Finance,"148,933"
2016,Annual,Kings County,California Dept of Finance,"147,615"
2015,Annual,Kings County,California Dept of Finance,"148,525"
2014,Annual,Kings County,California Dept of Finance,"149,788"
2022,Annual,Lake County,California Dept of Finance,"67,206"
2021,Annual,Lake County,California Dept of Finance,"67,714"
2020,Annual,Lake County,California Dept of Finance,"67,864"
2019,Annual,Lake County,California Dept of Finance,"68,114"
2018,Annual,Lake County,California Dept of Finance,"68,358"
2017,Annual,Lake County,California Dept of Finance,"67,963"
2016,Annual,Lake County,California Dept of Finance,"66,945"
2015,Annual,Lake County,California Dept of Finance,"66,931"
2014,Annual,Lake County,California Dept of Finance,"64,744"
2022,Annual,Lassen County,California Dept of Finance,"29,544"
2021,Annual,Lassen County,California Dept of Finance,"31,054"
2020,Annual,Lassen County,California Dept of Finance,"31,926"
2019,Annual,Lassen County,California Dept of Finance,"32,857"
2018,Annual,Lassen County,California Dept of Finance,"32,936"
2017,Annual,Lassen County,California Dept of Finance,"32,655"
2016,Annual,Lassen County,California Dept of Finance,"32,309"
2015,Annual,Lassen County,California Dept of Finance,"31,697"
2014,Annual,Lassen County,California Dept of Finance,"33,613"
2022,Annual,Los Angeles County,California Dept of Finance,"9,840,925"
2021,Annual,Los Angeles County,California Dept of Finance,"9,908,772"
2020,Annual,Los Angeles County,California Dept of Finance,"10,014,848"
2019,Annual,Los Angeles County,California Dept of Finance,"10,063,851"
2018,Annual,Los Angeles County,California Dept of Finance,"10,100,671"
2017,Annual,Los Angeles County,California Dept of Finance,"10,114,636"
2016,Annual,Los Angeles County,California Dept of Finance,"10,099,858"
2015,Annual,Los Angeles County,California Dept of Finance,"10,083,826"
2014,Annual,Los Angeles County,California Dept of Finance,"10,069,036"
2022,Annual,Madera County,California Dept of Finance,"157,287"
2021,Annual,Madera County,California Dept of Finance,"157,008"
2020,Annual,Madera County,California Dept of Finance,"156,422"
2019,Annual,Madera County,California Dept of Finance,"155,291"
2018,Annual,Madera County,California Dept of Finance,"155,476"
2017,Annual,Madera County,California Dept of Finance,"154,238"
2016,Annual,Madera County,California Dept of Finance,"153,136"
2015,Annual,Madera County,California Dept of Finance,"152,897"
2014,Annual,Madera County,California Dept of Finance,"154,278"
2022,Annual,Marin County,California Dept of Finance,"255,851"
2021,Annual,Marin County,California Dept of Finance,"258,719"
2020,Annual,Marin County,California Dept of Finance,"262,161"
2019,Annual,Marin County,California Dept of Finance,"263,917"
2018,Annual,Marin County,California Dept of Finance,"264,944"
2017,Annual,Marin County,California Dept of Finance,"264,753"
2016,Annual,Marin County,California Dept of Finance,"265,181"
2015,Annual,Marin County,California Dept of Finance,"263,964"
2014,Annual,Marin County,California Dept of Finance,"258,324"
2022,Annual,Mariposa County,California Dept of Finance,"16,943"
